trained_objective,step,checkpoint,evaluated_objective,direction,derivative,curvature,outcome_noise,class0_derivative,class1_derivative
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,7,0.16958990039212013,0.450755038059382,0.3835064062562788,0.124626084040849,0.2145537167433916
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,8,0.20558780955004705,0.5136667385544077,0.18253984979249277,0.1301577769230544,0.2810178421770393
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,9,0.043730818826998405,0.5650617823368206,0.14021905978201019,-0.24866292192971837,0.33612455958371557
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,10,0.07168631616009706,0.7518886824424079,0.21281902780456471,0.02635622028229904,0.11701641203789508
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,11,-0.01238333414259903,0.5313512917606157,0.23528661370402393,-0.24191831627400945,0.217151647988811
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,12,0.1784545492295801,0.41342684934105123,0.27039190521753137,0.261378496397322,0.0955306020618385
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,13,0.3086674340925892,0.4840805245660743,0.18136122604220972,0.13991169550292265,0.4774231726822561
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,14,-0.18294553334207117,0.3914023194205948,0.21434420380712974,-0.3605782814248741,-0.005312785259267891
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,15,-0.4308225406166851,0.5427722766966115,0.131236550439676,-0.6008059617047106,-0.2608391195286597
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,16,-0.11718086132091465,0.4693307948819291,0.19428990372956992,0.36638861946425294,-0.6007503421060827
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,17,0.09253185555142837,0.37908601438118794,0.25448248580921345,-0.2935816588799919,0.47864536998284857
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,18,-0.2915316122495256,0.4995518666222897,0.12678915500412524,-0.21502759492561493,-0.3680356295734359
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,19,0.012834317774498654,0.5065365656090955,0.19472069077606907,0.2562957223914508,-0.23062708684245353
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,20,0.14588116302480247,0.6214795787977209,0.23000262862788345,-0.12459381672004963,0.41635614276965494
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,21,0.27793538170719834,0.4723687678659326,0.08026920772579209,0.5527664890004236,0.0031042744139734664
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,22,-0.05974634244111747,0.49393490333683887,0.27060060764274757,-0.3429859843930546,0.22349329951081964
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,23,0.4280431970279194,0.6638932786110822,0.18932912339138305,0.5321056022280573,0.32398079182778117
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,24,-6.178960692659885e-05,0.54308674535448,0.21028475530064072,-0.1983773697002726,0.19825379048641975
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,25,-0.3370956233457234,0.4728960086934656,0.1822058872094704,0.008488821600205476,-0.6826800682916527
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,26,-0.014525843013933523,0.37743175899139925,0.12728060218545284,0.007740557165715571,-0.03679224319358225
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,27,0.0591540764943795,0.555282820129389,0.12185723189915591,0.2512883420307962,-0.13298018904203718
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,28,-0.019355245969266965,0.5167227173993788,0.07315070366866935,0.2793832163867016,-0.3180937083252359
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,29,-0.15206538000429778,0.6317960961381944,0.23982522705155931,-0.011114924070794915,-0.293015835937801
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,30,0.03644102496993392,0.44864979608934663,0.13702402214523682,-0.05207359882355508,0.12495564876342329
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,31,0.0578492588269756,0.3659833496927912,0.11364362953568094,0.26023928130471646,-0.14454076365076526
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,0,-0.17480370417041757,0.504876485208132,0.2091455502771323,-0.273939309998111,-0.07566809834272381
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,1,0.06017801924243431,0.6379562642742413,0.18596422455528308,0.271380170563161,-0.15102413207829235
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,2,-0.12398320344351992,0.6059600290397102,0.10857258649971771,-0.021112436401902933,-0.2268539704851369
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,3,-0.10267940045914174,0.5907216922394432,0.12616313343061702,-0.06052536752329252,-0.14483343339499116
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,4,0.2554197031239506,0.552409144551117,0.17697558222659956,0.1064556766948773,0.4043837295530236
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,5,0.2255046383103576,0.7405132551222853,0.1806406082689491,0.39710895227127785,0.053900324349437
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,6,-0.014796581363034633,0.7302468989297559,0.22000451847275385,0.20692211079639442,-0.23651527352246332
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,7,0.36493213792013574,0.6309403420863899,0.22585019160032524,0.5100329980869627,0.21983127775330846
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,8,0.23182037700558045,0.667631561819672,0.1337923431393463,0.00997571582708745,0.45366503818407383
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,9,0.09031030168165866,0.7057069676428409,0.2809805001539428,-0.16649710986237207,0.3471177132256894
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,10,-0.009869129409981747,0.8108713843230453,0.21734444952376297,-0.08999885197338817,0.07026059315342467
PER_OUTCOME_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,11,0.13717565560293243,0.5972001023565956,0.25699693111780686,-0.22368560139995738,0.4980369126058223
