dataset,epsilon,synthetic_id,source_state_id,source_dataset,source_split,source_class,source_g,augmentation_method,generator,operator,perturbation_strength,random_seed,norm,purity,source_fidelity,nearest_train_fidelity,nearest_same_class_train_fidelity,nearest_other_class_train_fidelity,energy,source_energy,energy_drift,energy_drift_absolute,magnetization_x,magnetization_z2,magnetization_x_drift,magnetization_z2_drift,accepted
blocked,0.8,syn-710d3943ddecb28c,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,field,-0.8,137004,0.9999999999999997,0.9999999999999993,0.9509436932092924,0.9516755068270237,0.9516755068270237,0.701895484079975,-6.139387885748641,-6.428332746379931,0.28894486063129055,0.28894486063129055,0.9126139158902749,0.3847227774151989,-1.1102230246251565e-16,-0.04608089489410605,False
blocked,0.0,syn-37e263e3a0c38f4b,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,interaction,0.0,137100,0.9999999999999997,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.7865033688591483,-6.428332746379931,-6.428332746379931,0.0,0.0,0.912613915890275,0.43080367230930494,0.0,0.0,True
blocked,0.1,syn-dd71d118dbf7fb15,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,interaction,0.1,137101,0.9999999999999997,0.9999999999999993,0.9968414247160994,0.9968414247160994,0.9968414247160994,0.7844600805008307,-6.409821030795097,-6.428332746379931,0.01851171558483422,0.01851171558483422,0.9094855186803925,0.430803672309305,-0.0031283972098824497,5.551115123125783e-17,True
blocked,0.2,syn-be75525f954bd02e,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,interaction,0.2,137102,0.9999999999999998,0.9999999999999996,0.9874198768037632,0.9874198768037634,0.9874198768037634,0.7783631435335605,-6.354532311063892,-6.428332746379931,0.07380043531603953,0.07380043531603953,0.900141972116465,0.43080367230930494,-0.012471943773810001,0.0,False
blocked,0.4,syn-86855a0fb8c7039b,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,interaction,-0.4,137103,0.9999999999999998,0.9999999999999996,0.9505353754595639,0.9505638220723815,0.9505638220723815,0.7544629894109038,-6.137041832505917,-6.428332746379931,0.29129091387401473,0.29129091387401473,0.8633870531475177,0.430803672309305,-0.04922686274275723,5.551115123125783e-17,False
blocked,0.8,syn-86f0f99cdcefbbdd,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,interaction,0.8,137104,0.9999999999999997,0.9999999999999993,0.8151571184302082,0.8155870463887941,0.8155870463887941,0.6662787348488204,-5.323733640700204,-6.428332746379931,1.1045991056797275,1.1045991056797275,0.7259416031912725,0.43080367230930494,-0.18667231269900242,0.0,False
blocked,0.0,syn-dbbe43e479ea263f,class-1-00095,blocked,train,1,1.3961914916267568,state_local_physics,spectral_norm_normalized,field,0.0,147000,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.8014624626564084,-6.12658773634363,-6.12658773634363,0.0,0.0,0.9018095025968742,0.44520923603286444,0.0,0.0,True
blocked,0.1,syn-2eba29389d835e04,class-1-00095,blocked,train,1,1.3961914916267568,state_local_physics,spectral_norm_normalized,field,0.1,147001,0.9999999999999994,0.9999999999999989,0.9990959435624801,0.9990959435624797,0.9990959435624797,0.7999638372004094,-6.121586810129623,-6.12658773634363,0.005000926214007606,0.005000926214007606,0.9018095025968736,0.44440005618017625,-5.551115123125783e-16,-0.000809179852688191,True
blocked,0.2,syn-65a5895fac6bab0d,class-1-00095,blocked,train,1,1.3961914916267568,state_local_physics,spectral_norm_normalized,field,-0.2,147002,0.9999999999999994,0.9999999999999989,0.9963938506114175,0.9963938506114173,0.9963938506114173,0.7954865075207559,-6.106633999089254,-6.12658773634363,0.01995373725437588,0.01995373725437588,0.9018095025968736,0.4419806016797214,-5.551115123125783e-16,-0.003228634353143023,True
blocked,0.4,syn-355bb379234404a4,class-1-00095,blocked,train,1,1.3961914916267568,state_local_physics,spectral_norm_normalized,field,-0.4,147003,0.9999999999999993,0.9999999999999987,0.9857354891183067,0.986116673459035,0.986116673459035,0.7778527760539423,-6.047568279862807,-6.12658773634363,0.07901945648082354,0.07901945648082354,0.9018095025968736,0.4324234140834081,-5.551115123125783e-16,-0.012785821949456322,False
