group,class,kernel,mmd,physics_error,generated_Mx,target_Mx,generated_Mz2,target_Mz2
validation/isolated_step_1,0,1-rdm,0.045953195383028556,0.26318741247271077,0.18631413620778267,0.4396999260563019,0.5841366068754653,0.8571256419723676
validation/isolated_step_1,0,2-rdm,0.24586067799817268,0.26318741247271077,0.18631413620778267,0.4396999260563019,0.5841366068754653,0.8571256419723676
validation/isolated_step_1,1,global,0.6134444301642696,0.3141225599603924,0.41839221879835203,0.9309888699232617,0.28944448310383697,0.4050929518997121
validation/isolated_step_1,1,1-rdm,0.21379832708284963,0.3141225599603924,0.41839221879835203,0.9309888699232617,0.28944448310383697,0.4050929518997121
validation/isolated_step_1,1,2-rdm,0.38704938245917764,0.3141225599603924,0.41839221879835203,0.9309888699232617,0.28944448310383697,0.4050929518997121
validation/isolated_step_2,0,global,0.3123595253602135,0.35046777580046845,-0.027794187948656686,0.2716832766149335,0.27713928562192974,0.6785973726592764
validation/isolated_step_2,0,1-rdm,0.052659226162602435,0.35046777580046845,-0.027794187948656686,0.2716832766149335,0.27713928562192974,0.6785973726592764
validation/isolated_step_2,0,2-rdm,0.3499672209681167,0.35046777580046845,-0.027794187948656686,0.2716832766149335,0.27713928562192974,0.6785973726592764
validation/isolated_step_2,1,global,0.3374142972821824,0.28377753966206587,0.03697656769396732,0.5987806595182718,0.3165540261948214,0.3108030386949942
validation/isolated_step_2,1,1-rdm,0.24081741165676784,0.28377753966206587,0.03697656769396732,0.5987806595182718,0.3165540261948214,0.3108030386949942
validation/isolated_step_2,1,2-rdm,0.36945827312286894,0.28377753966206587,0.03697656769396732,0.5987806595182718,0.3165540261948214,0.3108030386949942
validation/rollout_step_2,0,global,0.32879510809933427,0.37219284740021524,-0.07716615749969452,0.2635816064751209,0.27773855293109284,0.6813764837567079
validation/rollout_step_2,0,1-rdm,0.07584141741694417,0.37219284740021524,-0.07716615749969452,0.2635816064751209,0.27773855293109284,0.6813764837567079
validation/rollout_step_2,0,2-rdm,0.38202119098630105,0.37219284740021524,-0.07716615749969452,0.2635816064751209,0.27773855293109284,0.6813764837567079
validation/rollout_step_2,1,global,0.32004243725494225,0.2808067644369374,0.029452637751011805,0.5794679195721149,0.3254763869302487,0.313878139877477
